rank,bucket,symbol,company,sector,policy_score_100,policy_rating,phase1_status,stance,current_price,current_stage,current_rsi,current_relative_strength,relative_strength_score_10,momentum_score_10,setup_quality_score_10,technical_25,fundamental_25,liquidity_tradeability_15,governance_management_10,valuation_reward_risk_10,entry_trigger,initial_stop_price,target_2r_price,paper_quantity_by_policy,paper_position_value,paper_risk_to_stop,latest_quarter,latest_revenue_cr,latest_pat_cr,latest_opm_pct,revenue_yoy_pct,pat_yoy_pct,annual_revenue_cr,annual_pat_cr,market_cap,stock_pe,price_to_book,roe,roce,promoters,fiis,diis,public,key_strengths,key_risks,evidence_blockers,next_action,source_domains,theme_lens,theme_thesis,stock_expression,theme_confirmation,theme_risk,theme_invalidation,priority_implication
1,Clean trigger map,SYRMA,Syrma SGS Technology Ltd,Industrial Manufacturing,80.8,Core Candidate,PHASE1_TRIGGER_MAP_GOVERNANCE_PENDING,"Best clean candidate, but valuation/governance must clear before order.",1418.0,STAGE_2,57.6,31.24,8.5,7.9,7.7,20.1,18.7,15,6.0,8,"Break above 1532.88 with volume, or retest-hold near 1379.22; skip if >5% above planned trigger.",1316.69,1620.62,14,19852.0,1418.34,Jun 2026,1589.0000,106.0000,10.0000,68.32627118644068,112.00000000000001,4819.0000,346.0000,"27,337",73.6,148,14.0,16.8,42.28%,7.51%,15.90%,34.17%,overlaps one sampled small-cap fund; high relative strength; current Stage 2 trend; profit growth evidence,setup backtest sample provisional,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger.",bseindia.com; nseindia.com; screener.in; syrmasgs.com,India EMS and manufacturing scale-up,"The theme is domestic electronics manufacturing, outsourcing, and import substitution. It stays attractive only if revenue growth converts into cash and margins without excess inventory or receivable stretch.","Syrma is the EMS expression in the basket: high growth, Stage 2 price behavior, and mutual-fund overlap, but not a valuation bargain.","Fresh Jun 2026 result in local cache, high relative strength, Stage 2 trend, and policy theme fit through industrial manufacturing.","Expensive EMS expectations, working-capital deterioration, customer/product execution risk, and promoter holding reduction.","Growth quality weakens, cash conversion deteriorates, or the stock fails the mapped retest/breakout with volume.","Highest clean-candidate priority, but only after governance review and trigger confirmation."
2,Clean trigger map,AEGISVOPAK,Aegis Vopak Terminals Limited,Oil,73.2,Active Watch,PHASE1_TRIGGER_MAP_GOVERNANCE_PENDING,Theme and relative strength are attractive; valuation/leverage history makes this active watch.,288.7,STAGE_2,59.5,36.99,8.5,6.9,6.2,17.9,14.8,15,3.5,8,"Break above 314.60 with volume, or retest-hold near 289.32; skip if >5% above planned trigger.",259.83,346.44,51,14723.7,1472.37,Jun 2026,234.0000,69.0000,77.0000,12.5,-12.658227848101266,923.0000,342.0000,"31,976",118,38.7,11.0,7.56,86.94%,5.35%,5.30%,2.41%,overlaps one sampled small-cap fund; high relative strength; current Stage 2 trend; profit growth evidence,fundamental score weak; setup backtest sample provisional,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger.",aegisvopak.com; bseindia.com; nseindia.com; screener.in,"Energy storage, terminals, and logistics infrastructure","The theme is long-duration liquid/gas storage infrastructure with operating leverage. It works when utilization, pricing, and debt-service comfort support the asset base.","Aegis Vopak represents terminal infrastructure rather than commodity-price exposure. The market is rewarding the asset theme, visible in relative strength.","Stage 2 trend, strong relative strength, fresh Jun 2026 result cache, and adequate traded value for a small-cap paper slot.","High P/E and P/B, leverage, interest capitalization concerns, short listed history, and asset-heavy capex execution.","Security-cover/debt review weakens, Q1 margins do not support the thesis, or price loses 20DMA support after a failed breakout.","Good theme watch, but valuation and balance-sheet review must be stricter than for SYRMA."
3,Clean trigger map,KARURVYSYA,Karur Vysya Bank Limited,Banks,71.5,Active Watch,PHASE1_TRIGGER_MAP_GOVERNANCE_PENDING,"Best valuation/liquidity balance among the clean five, but technical leadership is lower.",337.5,STAGE_2,68.3,11.46,4.0,6.8,7.8,15.7,17.3,13,6.0,7.5,"Break above 355.32 with volume, or retest-hold near 327.74; skip if >5% above planned trigger.",302.9,406.7,44,14850.0,1522.4,Jun 2026,1864.5400,755.7000,,22.136774531638935,44.92281139131269,7022.8700,2510.3300,₹32625 Cr,11.88,2.31,N/A (see financials),,2.07%,17.92%,41.22%,38.78%,owned by two sampled small-cap funds; current Stage 2 trend; profit growth evidence,,GOVERNANCE_REVIEW_PENDING; WATCH_THIN_CURRENT_VOLUME,"Complete governance/filing review, then wait for breakout-retest or pullback trigger.",bseindia.com; kvb.bank.in; nseindia.com; screener.in,Private-bank credit cycle and regional lending franchise,"The theme is mid-sized private bank credit growth with profitability, asset-quality, and deposit-franchise discipline.",Karur Vysya is the valuation-and-liquidity counterweight in the clean list. It is less thematic momentum and more compounding-through-credit-cycle evidence.,"Fresh Jun 2026 result cache, strong institutional holding, Stage 2 price trend, and very high traded value.","Lower relative strength than the leaders, thin current volume ratio in the policy scan, and bank-specific NPA/NIM/CASA/credit-cost evidence still needing review.","Asset quality, NIM, or credit-cost commentary deteriorates, or relative strength fails against bank benchmarks.","Useful diversifier if the trigger arrives with participation, not the first momentum buy."
4,Clean trigger map,VMART,V-Mart Retail Ltd.,Retailing,67.1,Active Watch,PHASE1_TRIGGER_MAP_GOVERNANCE_PENDING,Consumer recovery watch; still needs valuation and execution comfort.,813.9,STAGE_2,65.6,19.12,5.5,7.9,6.0,16.1,16.5,11,3.5,8,"Break above 896.88 with volume, or retest-hold near 762.24; skip if >5% above planned trigger.",740.25,961.2,18,14650.2,1325.7,Jun 2026,1088.8100,47.2100,7.0400,22.99880255755631,40.50595238095238,3784.3400,124.0000,₹6477 Cr,47.13,6.80,N/A (see financials),,44.15%,16.47%,30.90%,8.48%,owned by two sampled small-cap funds; current Stage 2 trend; profit growth evidence,,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger.",bseindia.com; nseindia.com; screener.in; vmart.co.in,Value retail and discretionary consumption recovery,"The theme is small-town/value retail recovery: revenue growth, store economics, margin normalization, and inventory discipline.","V-Mart is the consumer recovery expression. The stock has Stage 2 behavior, but the fundamental thesis depends on execution and margin recovery.","Fresh Jun 2026 result cache, Stage 2 trend, improving momentum score, and sampled fund ownership overlap.","Modest operating margin, not-cheap valuation, weaker liquidity versus the top candidates, and execution/management-transition risk.","Same-store growth or margin recovery stalls, inventory pressure rises, or breakout near the 52-week zone fails on weak volume.",Keep as active watch; require a clean retest or high-quality breakout before slotting.
5,Clean trigger map,FIVESTAR,Five Star Business Finance Ltd,Finance,65.7,Active Watch,PHASE1_TRIGGER_MAP_GOVERNANCE_PENDING,NBFC watch only until asset-quality and governance checks are complete.,553.25,STAGE_2,48.2,18.42,3.5,5.8,7.8,14.5,15.2,11,6.0,8,"Break above 802.39 with volume, or retest-hold near 550.36; skip if >5% above planned trigger.",504.54,650.67,27,14937.75,1315.17,Jun 2026,821.2000,271.4100,49.4700,6.055714119667854,1.9150613946153028,3175.6700,1098.7500,"16,354",104,,16.0,17.0,18.61%,43.97%,22.35%,15.07%,overlaps one sampled small-cap fund; current Stage 2 trend; healthy operating margin,,GOVERNANCE_REVIEW_PENDING,"Complete governance/filing review, then wait for breakout-retest or pullback trigger.",bseindia.com; fivestargroup.in; nseindia.com; screener.in,Secured MSME and small-business NBFC lending,"The theme is formalized secured lending to small business customers. It works when loan growth, collections, credit cost, and funding access remain controlled.","Five Star gives NBFC exposure with visible profitability, but the score is constrained by valuation, modest growth, and shareholding/governance questions.","Fresh Jun 2026 result cache, Stage 2 trend, acceptable liquidity, and healthy operating profitability in cached financials.","NBFC asset quality, borrowing cost, high valuation, low promoter holding, and promoter holding decline.","GNPA/NNPA, collection efficiency, or credit-cost trends weaken, or price fails the 20DMA/50DMA support zone.",Watch-only until asset-quality and governance review is complete; do not lead Phase 1.
6,Retest trigger map,SONACOMS,Sona BLW Precision Forgings Limited,Auto Components,74.0,Active Watch,PHASE1_RETEST_TRIGGER_MAP_GOVERNANCE_PENDING,Trigger-map candidate; execution gates pending.,792.0,STAGE_2,74.5,24.69,7.5,5.9,6.6,16.7,18.8,15,6.0,6.5,"Break above 832.85 with volume, or retest-hold near 727.07; skip if >5% above planned trigger.",712.8,950.4,18,14256.0,1425.6,Jun 2026,1301.0000,179.0000,23.0000,52.341920374707264,46.721311475409834,4449.0000,629.0000,"49,382",67.9,96.2,11.3,14.2,28.01%,23.61%,41.60%,6.77%,overlaps one sampled small-cap fund; current Stage 2 trend; profit growth evidence; healthy operating margin,,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.,bseindia.com; nseindia.com; screener.in,EV and premium auto-component content,The theme is rising EV and drivetrain content per vehicle. It needs durable order visibility and margin protection.,"Sona BLW is the EV/auto-component quality proxy, but the policy scan flags no-chase behavior.","Fresh result cache, Stage 2 trend, and auto-component policy theme fit.","Extended setup, valuation risk, export/customer-cycle sensitivity, and EV demand volatility.",Retest fails or management commentary weakens on order conversion/margins.,Retest-only; no fresh allocation at current extension.
7,Retest trigger map,NETWEB,Netweb Technologies India Limited,IT - Services,73.0,Active Watch,PHASE1_RETEST_TRIGGER_MAP_GOVERNANCE_PENDING,Trigger-map candidate; execution gates pending.,4816.0,STAGE_2,68.7,14.95,5.0,6.7,6.2,14.9,20.6,15,6.0,6.5,"Break above 5296.44 with volume, or retest-hold near 4402.31; skip if >5% above planned trigger.",4481.34,5485.32,3,14448.0,1003.98,Jun 2026,819.6900,85.3200,14.3000,172.1323993227317,179.92125984251967,2183.5600,205.8200,₹27423 Cr,104.70,37.81,N/A (see financials),,66.98%,9.27%,5.91%,17.84%,overlaps one sampled small-cap fund; current Stage 2 trend; profit growth evidence,,GOVERNANCE_REVIEW_PENDING; WATCH_EXTENDED_FROM_20DMA,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.,bseindia.com; nseindia.com; screener.in,"AI, HPC, and data-center infrastructure","The theme is domestic compute infrastructure, AI servers, and high-performance computing demand.",Netweb is a direct digital-infrastructure momentum proxy.,"Fresh result cache, Stage 2 trend, and very high traded value.","Valuation, order concentration, capacity execution, and extended price behavior.","Order pipeline or margin commentary disappoints, or the retest fails with volume.","Attractive theme, but retest-only under no-chase discipline."
8,Retest trigger map,WELCORP,Welspun Corp Limited,Industrial Products,72.3,Active Watch,PHASE1_RETEST_TRIGGER_MAP_GOVERNANCE_PENDING,Trigger-map candidate; execution gates pending.,1819.6,STAGE_2,80.0,29.22,7.5,5.8,6.6,16.6,17.2,15,6.0,6.5,"Break above 1880.62 with volume, or retest-hold near 1661.64; skip if >5% above planned trigger.",1637.64,2183.52,8,14556.8,1455.68,Jun 2026,4081.0000,1048.0000,17.0000,14.925373134328357,200.28653295128942,16770.0000,1620.0000,"48,045",20.8,347,19.4,22.9,49.73%,14.61%,19.96%,15.68%,overlaps one sampled small-cap fund; high relative strength; current Stage 2 trend; profit growth evidence,extended RSI,GOVERNANCE_REVIEW_PENDING; WATCH_RSI_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.,bseindia.com; nseindia.com; screener.in; welspuncorp.com,Industrial pipes and energy infrastructure capex,"The theme is energy, water, and infrastructure pipe demand with operating leverage.",Welspun Corp gives cyclical industrial capex exposure.,"Fresh result cache, high relative strength, Stage 2 trend, and strong liquidity.","Cyclical order timing, commodity/input-cost swings, and extended RSI.",Order book/margin read-through weakens or RSI extension resolves through price damage.,Retest-only because the technical gate is extended.
9,Retest trigger map,RAINBOW,Rainbow Childrens Medicare Limited,Healthcare Services,68.9,Active Watch,PHASE1_RETEST_TRIGGER_MAP_GOVERNANCE_PENDING,Trigger-map candidate; execution gates pending.,1573.2,STAGE_2,66.5,10.92,5.5,8.6,4.8,15.6,17.8,11,6.0,7.5,"Break above 1626.10 with volume, or retest-hold near 1505.28; skip if >5% above planned trigger.",1429.07,1861.46,9,14158.8,1297.17,Jun 2026,470.0000,63.0000,29.0000,33.14447592067988,16.666666666666675,1703.0000,282.0000,"15,988",55.8,162,15.9,17.4,49.84%,16.03%,22.56%,11.39%,owned by two sampled small-cap funds; current Stage 2 trend; healthy operating margin,,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.,bseindia.com; nseindia.com; screener.in,Specialty healthcare services and hospital capacity,The theme is pediatric and maternity specialty healthcare with capacity-led growth.,Rainbow is the healthcare-services quality and expansion proxy.,"Fresh result cache, Stage 2 trend, operating-margin evidence, and sampled fund overlap.","Capex ramp-up, occupancy, doctor availability, and valuation risk.",Occupancy/margin trend weakens or retest fails after extension.,Retest-only; useful defensive-growth watch if price resets.
10,Retest trigger map,WEWORK,Wework India Management Limited,Commercial Services & Supplies,66.9,Active Watch,PHASE1_RETEST_TRIGGER_MAP_GOVERNANCE_PENDING,Trigger-map candidate; execution gates pending.,748.2,STAGE_2,71.7,23.29,7.5,8.6,5.8,18.1,14.8,13,3.5,6.5,"Break above 802.45 with volume, or retest-hold near 720.66; skip if >5% above planned trigger.",675.22,894.16,20,14964.0,1459.6,Jun 2026,683.8300,-4.0600,64.0500,27.744671311950107,-71.28712871287128,2440.0000,75.0000,"10,352",117,22.0,31.6,20.7,48.30%,19.64%,25.90%,6.17%,overlaps one sampled small-cap fund; current Stage 2 trend; healthy operating margin,,GOVERNANCE_REVIEW_PENDING; WATCH_AGENT_ADDA_EXTENDED,Complete governance/filing review; retest-only because current setup is extended or flagged no-chase.,bseindia.com; nseindia.com; screener.in,Flexible workspace and managed office demand,The theme is enterprise adoption of flexible workspaces and managed office capacity.,WeWork India represents office-services growth rather than pure real-estate ownership.,"Fresh result cache, Stage 2 trend, healthy operating-margin evidence, and adequate liquidity.","Lease liabilities, occupancy execution, cyclicality in office demand, and short market history.","Occupancy, margin, or cash-flow evidence weakens, or retest fails.",Retest-only; needs more listing-history and governance comfort.
