symbol,company,index_membership,sector,sector_theme,government_investment_theme,government_investment_gate,government_investment_note,overall_score_100,technical_component_30,fundamental_component_35,theme_component_20,risk_component_15,decision_bucket,trigger_state,stage,stage_source,stage2_gate,growth_gate,high_eps_gate,yoy_sales_gate,theme_gate,liquidity_gate,freshness_gate,latest_price,sma50,sma200,distance_52w_high_pct,six_month_return_pct,one_year_return_pct,technical_score,rsi,relative_strength,trend_signal,trading_signal,enhanced_fund_score,earnings_quality,eps_growth_proxy,sales_growth,financial_strength,can_slim_score,minervini_score,trading_value_cr,source_score_date,source_trail,blockers
SONACOMS,SONACOMS,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Auto / Auto Components,"Mobility, EV ancillaries and component localisation",EV and mobility,PASS,"EV ecosystem, auto components, clean mobility",82.7,30,29.7,18.0,5.0,CORE CANDIDATE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,813.5,712.86,572.68,-1.27,51.76,80.32,93.77,58.6,92.3864,BULLISH,BUY,78.78,71.25,71.25,87.50,85.00,15.00,10.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
OFSS,OFSS,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,82.1,28.0,30.1,19.0,5.0,CORE CANDIDATE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,11518.0,11162.67,8808.35,-3.18,72.7,31.63,94.87,47.9,89.2045,BULLISH,BUY,80.73,78.75,78.75,75.00,93.50,9.00,20.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
OBEROIRLTY,OBEROIRLTY,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,Housing,"Housing, building materials and urban infrastructure",Housing and urban infra,PASS,"Housing, urban infrastructure, building materials",79.3,27.5,27.8,19.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1870.0,1827.2,1666.92,-4.27,22.77,11.8,75.58,62.3,74.5076,NEUTRAL,HOLD,77.78,76.25,76.25,75.00,80.00,6.00,8.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
KEI,KEI,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Housing,"Housing, building materials and urban infrastructure",Housing and urban infra,PASS,"Housing, urban infrastructure, building materials",79.1,24.7,31.4,18.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,5494.0,5318.0,4737.74,-6.45,15.28,39.35,81.99,49.7,70.3788,BULLISH,BUY,84.78,83.75,83.75,87.50,90.00,7.00,10.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
NYKAA,NYKAA,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,78.2,25.6,29.6,18.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,330.3,320.37,274.48,-4.23,23.83,43.9,93.24,38.7,82.6136,BULLISH,BUY,81.37,85.00,85.00,90.00,64.33,11.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
PAYTM,PAYTM,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,Financial Services,"Credit, insurance, wealth and capital-market participation",Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,78.1,27.3,26.8,19.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1623.5,1335.34,1218.05,-1.58,38.32,27.22,70.06,75.0,93.4848,NEUTRAL,HOLD,77.06,81.67,81.67,72.50,62.33,15.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
UNOMINDA,UNOMINDA,NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150,Auto / Auto Components,"Mobility, EV ancillaries and component localisation",EV and mobility,PASS,"EV ecosystem, auto components, clean mobility",77.3,25.1,31.2,16.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1251.3,1172.88,1172.35,-8.42,4.62,-2.5,72.75,56.5,68.9773,NEUTRAL,HOLD,81.70,81.25,81.25,87.50,74.00,9.00,12.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
COFORGE,COFORGE,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50; NIFTY MIDCAP SELECT,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,76.6,29.4,22.2,20,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,WATCH,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1873.0,1607.44,1516.51,-5.3,45.31,6.18,71.97,69.5,93.4091,NEUTRAL,HOLD,10.00,88.25,88.25,92.50,84.00,15.00,8.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
KALYANKJIL,KALYANKJIL,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Consumer Durables,Premiumisation and household consumption,No direct government-investment tag,NONE,Theme is primarily private demand or company-specific,76.0,30,31.0,10.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,607.95,512.56,446.62,-4.2,51.17,18.94,83.73,56.7,98.4091,NEUTRAL,HOLD,84.61,85.00,85.00,95.00,71.67,13.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_GOVERNMENT_INVESTMENT_CONFIRMATION
NAM-INDIA,NAM-INDIA,NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150,Capital Markets,Financialisation and market infrastructure,No direct government-investment tag,NONE,Theme is primarily private demand or company-specific,73.0,28.0,32.0,8.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1247.8,1179.8,993.55,-0.26,26.67,47.94,88.71,59.8,59.2803,BULLISH,BUY,87.35,87.50,87.50,87.50,93.50,,12.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_GOVERNMENT_INVESTMENT_CONFIRMATION
