id	category	title	cli	description	tags	source
market_3m_rotation_swing_v1	skill	market 3m rotation swing v1	AGENT_ADDA_SKILL_STORE=1 .venv/bin/python3 nse_agent.py --query "last 3 months market rotation"	Build a three-month market rotation view with index returns, stage distribution change, sector return leadership, liquid Stage 2 candidates, and optional persisted VCP overlap.	market_regime sector_rotation stage_2 swing vcp last_3_months	launcher_data.json
portfolio_incremental_add_trim_v1	skill	portfolio incremental add trim v1	AGENT_ADDA_SKILL_STORE=1 .venv/bin/python3 nse_agent.py --query "review my portfolio for incremental add or trim"	Review the current portfolio state before recommending incremental adds, trims, holds, and sector exposure actions using existing holdings, current market value, position weights, sector weights, stag	portfolio incremental_add trim sector_exposure position_sizing existing_holdings	launcher_data.json
vcp_breakouts_with_fundamentals_v1	skill	vcp breakouts with fundamentals v1	AGENT_ADDA_SKILL_STORE=1 .venv/bin/python3 nse_agent.py --query "stocks creating new highs or VCP or breakouts with good fundamentals"	Find Stage 2 VCP breakout candidates and high-quality Stage 2 momentum candidates with strong technical and fundamental evidence, returning a bounded TradingView-ready watchlist.	vcp breakout new_high fundamentals stage_2 tradingview watchlist	launcher_data.json
comprehensive_stock_research_v1	skill_store	Comprehensive Stock Research Report	python nse_agent.py --query "Comprehensive Stock Research Report [SYMBOL]"	Build a comprehensive Agent Adda stock research report for an NSE/BSE listed equity. The workflow resolves the symbol, gathers fundamentals, sector context, latest filings/news, broker web research, l	stock_research fundamentals sector_analysis news_analysis technical_analysis broker_research concall_analysis multi_timeframe_analysis weinstein_stage_analysis oneil_canslim_analysis valuation equity_chart_v1 report_generation	skill_store/stored/comprehensive_stock_research_v1.yml
equity_chart_v1	skill_store	equity_chart_v1	python -m terminal.chart_engine {SYMBOL} --months 6 --intra-days 5 --open	Generate a comprehensive interactive equity chart for any NSE symbol. Includes candlestick (daily 6M + intraday 15m), SMA 20/50/200, EMA9 (intraday), RSI 14, Supertrend(10,3), swing-pivot S/R levels, 		skill_store/stored/equity_chart_v1.yml
intraday_fno_alert_scan_v1	skill_store	Intraday F&O Alert Scan	python nse_agent.py --query "Intraday F&O Alert Scan [SYMBOL]"	Scans the live F&O universe on 15-minute candles for active and near-trigger intraday setups. Scores each candidate across six breakout strategies (supertrend_breakout, near_breakout_volume, vcp, volu	intraday fno alerts breakout orb vwap vcp supertrend darvas live scan email_alert f_and_o	skill_store/stored/intraday_fno_alert_scan_v1.yml
publish_intelligence_report_v1	skill_store	Publish Agent Adda Intelligence Report	python nse_agent.py --query "Publish Agent Adda Intelligence Report [SYMBOL]"	Validate a generated Agent Adda HTML report, publish it to agentadda.in under Market Intelligence, verify the live report URLs and latest.json metadata, and prepare or send the Agent Adda recipient no	publish deployment report_qa market_intelligence deep_research email notification agentadda_www compliance	skill_store/stored/publish_intelligence_report_v1.yml
swing_playbook_report_v1	skill_store	swing_playbook_report_v1	python scripts/generate_swing_playbook_report.py --fresh	Generate the Agent Adda dark-terminal themed Swing Playbook HTML report. Runs the full pipeline: pulls candidates from PostgreSQL, checks overextension signals (RSI > 72 or price > 7% above SMA20), fe		skill_store/stored/swing_playbook_report_v1.yml
report_link_data_validation_v1	skill	report link data validation v1	AGENT_ADDA_SKILL_STORE=1 .venv/bin/python3 nse_agent.py --query "review report links not working"	Validate generated HTML report links, underlying detail pages, populated data, and source trails for Agent Adda Indian market research reports. This skill is for research-only quality assurance and do	report_qa links html data_validation indian_market research_only	launcher_data.json
/dashboard	repl	/dashboard	python nse_agent.py → /dashboard	Full market dashboard — breadth, sector rotation, regime	market overview	launcher_data.json
