Layer,Current Evidence,Current Role,Production Target,Included Previously?,Lean Beta INR/Month,Production INR/Month,Cost Driver,Notes
Cloudflare Worker/static frontend,"agentadda-www/wrangler.jsonc; agentadda-www/package.json","Next.js static/export-style website served through Cloudflare Worker assets","Cloudflare Workers/Pages paid plan if traffic or functions need it",Partially,500,2500,"Worker requests, CPU ms, build/deploy, domain/security","Cloudflare Workers paid plan starts at $5/mo with included request/CPU allocation; current app is mostly static assets"
Static report hosting,"agentadda-www/public/reports/","HTML reports and static assets served from the web repo","Cloudflare assets initially; R2 if reports/artifacts grow",Partially,0,500,"Storage GB, object reads/writes","Cloudflare R2 has free tier; public reports are small at beta scale"
FastAPI backend,"agent_adda/web_api/main.py; e2e/playwright.config.ts","Local API on 127.0.0.1:8765 for Talk 2 Stocks/routes","Deploy as web service on Render/Fly/Railway/VPS or container platform",No,700,3000,"Always-on compute, memory, concurrency, HTTPS, CORS","Current repo has FastAPI but no production deploy config found"
Managed PostgreSQL,"postgres/; postgres/start_pg.sh; installer/setup_wizard.py","Local NSE market DB and analytics store","Managed Postgres with backups and monitoring",Partially,1500,5000,"Storage, CPU/RAM, backups, connections","Current model used generic DB/storage bucket; public product needs managed DB"
Daily refresh scheduler,"installer/systemd/agentadda-daily-refresh.service; .timer","Weekday EOD refresh job","Cron job/background worker in production",Partially,300,1000,"Job runtime, logs, retries","Can run on same backend initially"
Intraday capture worker,"installer/systemd/agentadda-intraday-capture.service","Always-on quote-tape capture","Separate background worker if intraday features are paid",Partially,700,3000,"Polling frequency, runtime, data vendor limits","Cost and compliance depend heavily on data source/license"
Alert worker,"nse_agent.py monitor/alert commands; terminal live alert modules","Background alert monitoring and email triggers","Queue/worker with plan-level frequency controls",Partially,500,2500,"Polling, queue ops, email sends, LLM parser calls","Must cap by plan"
Email/report delivery,"terminal/email_dispatcher.py; /email commands","Send reports and alert emails","SMTP/API provider with deliverability monitoring",Partially,500,2000,"Email volume, domain reputation, bounce handling","Existing sheet had generic email infrastructure line"
Monitoring/logging/cost ledger,"logs/; report_validation.py; cost model requirement","Operational QA and cost tracking","Central logs, error tracking, token ledger",Partially,500,2000,"Log volume, retention, dashboards","Required before paid subscriptions"
Backup and artifact storage,"reports/; postgres archive; portfolio reports","Report artifacts and DB backup reserve","Automated backups and retention policy",Partially,500,1500,"Backup size, retention period, restore testing","Separate from live DB storage"
Support/content ops reserve,"Manual report QA and research workflow","Human review, customer support, report QA","Lean support budget",Yes,5000,10000,"Support time and manual QA","Largest non-infra lean fixed cost"
Market data licensing,"NSE/public data pipelines; local PG","Current local/internal data ingestion","Vendor/exchange-compliant data feed if public real-time product",No,0,999999,"Vendor quote required","Explicitly excluded; can dominate all other infra costs"
