symbol,company,index_membership,sector,sector_theme,government_investment_theme,government_investment_gate,government_investment_note,overall_score_100,technical_component_30,fundamental_component_35,theme_component_20,risk_component_15,decision_bucket,trigger_state,stage,stage_source,stage2_gate,growth_gate,high_eps_gate,yoy_sales_gate,theme_gate,liquidity_gate,freshness_gate,latest_price,sma50,sma200,distance_52w_high_pct,six_month_return_pct,one_year_return_pct,technical_score,rsi,relative_strength,trend_signal,trading_signal,enhanced_fund_score,earnings_quality,eps_growth_proxy,sales_growth,financial_strength,can_slim_score,minervini_score,trading_value_cr,source_score_date,source_trail,blockers
OFSS,OFSS,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,84.1,30,30.1,19.0,5.0,CORE CANDIDATE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,11789.0,10934.88,8726.39,-0.9,75.98,37.84,94.87,60.8,89.2045,BULLISH,BUY,80.73,78.75,78.75,75.00,93.50,9.00,20.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
SONACOMS,SONACOMS,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Auto / Auto Components,"Mobility, EV ancillaries and component localisation",EV and mobility,PASS,"EV ecosystem, auto components, clean mobility",81.7,29.0,29.7,18.0,5.0,CORE CANDIDATE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,805.15,690.16,564.19,-1.58,53.33,80.95,93.77,73.2,92.3864,BULLISH,BUY,78.78,71.25,71.25,87.50,85.00,15.00,10.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
OBEROIRLTY,OBEROIRLTY,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,Housing,"Housing, building materials and urban infrastructure",Housing and urban infra,PASS,"Housing, urban infrastructure, building materials",78.9,27.1,27.8,19.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1840.3,1799.6,1663.68,-5.79,18.91,11.77,75.58,51.8,74.5076,NEUTRAL,HOLD,77.78,76.25,76.25,75.00,80.00,6.00,8.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
NYKAA,NYKAA,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,77.7,25.1,29.6,18.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,327.1,314.24,272.52,-5.16,18.85,49.24,93.24,47.6,82.6136,BULLISH,BUY,81.37,85.00,85.00,90.00,64.33,11.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
KALYANKJIL,KALYANKJIL,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150,Consumer Durables,Premiumisation and household consumption,No direct government-investment tag,NONE,Theme is primarily private demand or company-specific,76.0,30,31.0,10.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,619.45,487.71,444.52,-2.39,45.05,19.08,83.73,53.2,98.4091,NEUTRAL,HOLD,84.61,85.00,85.00,95.00,71.67,13.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_GOVERNMENT_INVESTMENT_CONFIRMATION
POLYCAB,POLYCAB,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50; NIFTY MIDCAP SELECT,Housing,"Housing, building materials and urban infrastructure",Housing and urban infra,PASS,"Housing, urban infrastructure, building materials",74.8,17.8,32.0,20,5.0,WATCH / PREPARE,WAIT,STAGE_1,yfinance daily history,WATCH,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,9342.0,9373.33,8234.49,-7.35,22.34,31.82,72.49,57.7,43.8258,WEAKENING,HOLD,88.53,87.00,87.00,90.00,93.50,1.00,12.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_STAGE2_CONFIRMATION
COFORGE,COFORGE,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50; NIFTY MIDCAP SELECT,IT / Digital,Digital infrastructure and enterprise technology,Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,73.8,26.7,22.2,20,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,WATCH,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1805.7,1562.34,1514.9,-8.71,29.67,9.07,71.97,70.1,93.4091,NEUTRAL,HOLD,10.00,88.25,88.25,92.50,84.00,15.00,8.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED
PAYTM,PAYTM,NIFTY 200; NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 100; NIFTY MIDCAP 150; NIFTY MIDCAP 50,Financial Services,"Credit, insurance, wealth and capital-market participation",Digital infrastructure,PASS,Digital public infrastructure and enterprise digitisation,73.6,26.8,26.8,19.0,1.0,RETEST ONLY,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1606.3,1283.22,1210.62,-2.62,43.02,36.85,70.06,86.2,93.4848,NEUTRAL,HOLD,77.06,81.67,81.67,72.50,62.33,15.00,6.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; EXTENDED_RSI_RETEST_ONLY
MEDANTA,MEDANTA,NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150,Healthcare,"Healthcare services, hospitals and diagnostics",No direct government-investment tag,NONE,Theme is primarily private demand or company-specific,73.1,27.8,32.4,8.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1423.8,1344.84,1200.99,-3.55,24.99,6.0,76.02,53.6,75.0379,NEUTRAL,HOLD,80.73,83.75,83.75,85.00,76.67,9.00,15.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_GOVERNMENT_INVESTMENT_CONFIRMATION
NAM-INDIA,NAM-INDIA,NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150,Capital Markets,Financialisation and market infrastructure,No direct government-investment tag,NONE,Theme is primarily private demand or company-specific,73.0,28.0,32.0,8.0,5.0,WATCH / PREPARE,WAIT,STAGE_2,yfinance daily history,PASS,PASS,PASS,PASS,PASS,WATCH,REFRESH_REQUIRED,1174.5,1165.2,984.64,-3.59,27.15,41.74,88.71,56.6,59.2803,BULLISH,BUY,87.35,87.50,87.50,87.50,93.50,,12.00,0.0,2026-08-14,reports/generated_csv/2026/comprehensive_nse_enhanced_20260817.csv; data/index_stock_mapping.csv; Union Budget 2026-27 highlights: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2221455; Budget speech: https://www.indiabudget.gov.in/doc/budget_speech.pdf; Capital goods/public capex: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222521; Infrastructure: https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270740; Defence budget: https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2221612,FUNDAMENTAL_REFRESH_REQUIRED; NO_GOVERNMENT_INVESTMENT_CONFIRMATION
